IdPunto;Latitud;Longitud;distrito;Nombre;Dirección;Tipo;Estado
PU0001;-12.05512468;-77.10261658;Comas;Crisol Mallplaza Comas;Av. Los Ángeles 602, Comas 15314;Centro comercial;ACTIVO
PU0002;-12.05276643;-77.09420718;Bellavista;Crisol Mallplaza Bellavista;Av. Óscar R. Benavides 3866, Bellavista 07011;Centro comercial;ACTIVO
PU0003;-12.07441721;-77.0824267;San Miguel;Crisol Plaza San Miguel;Blvd. Plaza Mantaro S/N, San Miguel 15088;Plaza;ACTIVO
PU0004;-11.9865334;-77.05925802;Independencia;Crisol Megaplaza;CC Megaplaza, Av. Alfredo Mendiola 3698, Independencia 15311;Centro comercial;ACTIVO
PU0005;-12.00339227;-77.04915464;San Martin de Porres;Crisol Plaza Norte;Plaza Norte, Av. Tomás Valle, Independencia 15311;Centro comercial;ACTIVO
PU0006;-12.05268881;-77.03290019;Lima;Crisol Real Plaza Centro Cívico;Av. P.º de la República 170, Lima 15001;Centro comercial;ACTIVO
PU0007;-12.0847322;-77.05386454;Jesús María;Crisol Derrama Magisterial;Av. Gregorio Escobedo 598, Lima 15072;Institución;ACTIVO
PU0008;-12.08687136;-77.04571099;Jesús María;Crisol Real Plaza Salaverry ;Centro Comercial Real Plaza Salaverry, Tienda LC-105, Av. Gral. Salaverry 2370, Jesús María 15076;Centro comercial;ACTIVO
PU0009;-12.07891285;-76.97526457;Santiago de Surco;Crisol Jockey Plaza;Jockey Plaza, Av. Javier Prado Este 4200, Santiago de Surco 15023;Centro comercial;ACTIVO
PU0010;-12.10888143;-77.00222238;San Borja;Crisol Real Plaza Primavera;Centro Comercial Real Plaza Primavera, Segundo Nivel Centro Comercial Real Plaza Primavera, Av. Angamos Este 2681, San Borja 15036;Centro comercial;ACTIVO
PU0011;-12.10871723;-76.98783455;Santiago de Surco;Crisol CC Caminos del Inca;Av. Caminos del Inca, Santiago de Surco 15038;Centro comercial;ACTIVO
PU0012;-12.109604;-77.03054995;Miraflores;Crisol Óvalo Gutiérrez;Av. Sta. Cruz 814, Lima 15073;Óvalo;ACTIVO
PU0013;-12.11815427;-77.02947028;Miraflores;Crisol Diagonal;Diagonal 228, Lima 15074;Avenida;ACTIVO
PU0014;-12.10791607;-77.01316245;Surquillo;Crisol Open Plaza Angamos;Av. Angamos Este 1803, Surquillo 15038;Centro comercial;ACTIVO
PU0015;-12.15246679;-76.98225605;San Juan de Miraflores;Crisol Mall del Sur;CC Mall del Sur, Av. Los Lirios. 301 - LC 3096 - 3098, San Juan de Miraflores 15801;Centro comercial;ACTIVO
PU0016;-12.17252216;-77.01240178;Chorrillos;Crisol Plaza Lima Sur;Av Paseo de la República, Chorrillos 15064;Centro comercial;ACTIVO
PU0017;-12.03712623;-76.92778749;Ate;Crisol Real Plaza Puruchuco;Ate 15494;Centro comercial;ACTIVO
PU0018;-12.05423265;-76.96426988;Santa Anita;Crisol Mall Aventura Santa Anita;Carr. Central 3012, Santa Anita 15008;Centro comercial;ACTIVO
PU0019;-12.2947194;-76.83662046;Lurín;Almacenes de la Librerias CRISOL;Calle D, Manzana A, Lote 20, Urb. Las, Lurín;Calle;ACTIVO
